"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","22,151.05","22,364.30","22,133.15","22,037.50","22,346.75","-","309.25","1.40","3,87,54,30,821","1,08,742.05","24,144.20","20,385.65","0.02","9.78"
"OLAELEC","36.72","41.88","35.70","36.32","40.40","-","4.08","11.23","1,03,42,93,039","4,048.22","71.25","22.25","66.80","-19.38"
"HDFCBANK","804.00","812.25","801.00","797.70","810.10","-","12.40","1.55","3,81,56,026","3,087.36","1,020.50","726.65","-4.63","-8.20"
"TCS","2,565.80","2,565.80","2,501.10","2,589.00","2,523.00","-","-66.00","-2.55","1,04,80,239","2,643.82","3,630.50","2,346.20","0.39","-22.29"
"RELIANCE","1,337.00","1,352.30","1,331.50","1,330.00","1,350.00","-","20.00","1.50","1,93,64,461","2,608.32","1,611.80","1,168.00","-4.17","13.89"
"INFY","1,318.00","1,318.90","1,283.30","1,331.60","1,291.40","-","-40.20","-3.02","1,92,33,369","2,486.26","1,728.00","1,215.10","-0.32","-8.00"
"ICICIBANK","1,289.00","1,324.00","1,288.50","1,281.30","1,322.80","-","41.50","3.24","1,81,74,755","2,394.03","1,500.00","1,187.60","0.83","1.69"
"BSE","3,310.00","3,330.00","3,234.00","3,257.40","3,279.80","-","22.40","0.69","68,67,670","2,253.31","3,330.00","1,802.53","14.65","77.34"
"SBIN","1,049.00","1,069.45","1,046.15","1,040.95","1,066.00","-","25.05","2.41","1,78,61,336","1,893.37","1,234.70","741.00","-4.15","43.63"
"COHANCE","321.60","380.20","318.90","316.85","373.30","-","56.45","17.82","4,76,32,246","1,738.53","1,250.00","266.70","26.29","-64.74"
"GROWW","188.70","198.50","188.70","186.66","193.65","-","6.99","3.74","7,26,29,253","1,415.47","198.50","112.00","23.27","-"
"SUNPHARMA","1,699.20","1,700.00","1,630.40","1,717.10","1,655.00","-","-62.10","-3.62","80,89,531","1,335.75","1,851.20","1,548.00","-8.70","0.17"
"COALINDIA","455.00","459.60","427.50","454.10","435.30","-","-18.80","-4.14","2,96,05,732","1,301.85","476.00","368.65","-1.86","16.20"
"NIACL","131.01","155.92","131.00","129.94","155.92","-","25.98","19.99","7,60,76,824","1,150.74","214.74","116.97","13.25","0.57"
"VEDL","740.00","746.50","731.75","737.00","745.50","-","8.50","1.15","1,53,33,995","1,132.95","769.80","368.60","3.25","101.19"
"LT","3,932.00","3,965.00","3,915.60","3,896.20","3,961.00","-","64.80","1.66","28,22,017","1,114.43","4,440.00","3,048.00","2.19","29.69"
"BHARTIARTL","1,868.00","1,874.60","1,859.90","1,859.40","1,867.00","-","7.60","0.41","58,57,988","1,093.96","2,174.50","1,711.60","0.90","8.83"
"WIPRO","208.70","208.70","200.62","202.87","204.60","-","1.73","0.85","5,12,19,565","1,045.39","273.10","186.50","1.83","-13.54"
"ETERNAL","240.40","242.45","237.11","237.89","240.48","-","2.59","1.09","4,01,80,860","964.46","368.45","209.86","6.12","13.76"
"ADANIPOWER","173.60","178.10","172.11","172.33","175.20","-","2.87","1.67","5,19,59,590","912.41","182.70","101.00","26.10","72.29"
"AXISBANK","1,328.80","1,358.60","1,326.10","1,318.50","1,351.10","-","32.60","2.47","67,55,589","911.90","1,418.30","1,042.50","2.77","27.26"
"M&M","3,180.00","3,270.00","3,180.00","3,166.80","3,266.00","-","99.20","3.13","28,01,451","909.10","3,839.90","2,515.95","-0.84","29.44"
